service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20160905,20161218
2,0,0,0,0,0,1,0,20160905,20161218
3,0,0,0,0,0,0,1,20160905,20161218
101,0,0,0,0,0,0,0,20160905,20161218
201,0,0,0,0,0,0,0,20160905,20161218
152301,0,0,0,0,0,0,0,20160905,20161218
152201,0,0,0,0,0,0,0,20160905,20161218
32501,0,0,0,0,0,0,0,20160905,20161218
701,0,0,0,0,0,0,0,20160905,20161218
801,0,0,0,0,0,0,0,20160905,20161218
62001,0,0,0,0,0,0,0,20160905,20161218
61901,0,0,0,0,0,0,0,20160905,20161218
1701,0,0,0,0,0,0,0,20160905,20161218
1601,0,0,0,0,0,0,0,20160905,20161218
901,0,0,0,0,0,0,0,20160905,20161218
75401,0,0,0,0,0,0,0,20160905,20161218
75301,0,0,0,0,0,0,0,20160905,20161218
59001,0,0,0,0,0,0,0,20160905,20161218
59101,0,0,0,0,0,0,0,20160905,20161218
401,0,0,0,0,0,0,0,20160905,20161218
185901,0,0,0,0,0,0,0,20160905,20161218
193901,0,0,0,0,0,0,0,20160905,20161218
194001,0,0,0,0,0,0,0,20160905,20161218
1201,0,0,0,0,0,0,0,20160905,20161218
1101,0,0,0,0,0,0,0,20160905,20161218
2001,0,0,0,0,0,0,0,20160905,20161218
62101,0,0,0,0,0,0,0,20160905,20161218
62201,0,0,0,0,0,0,0,20160905,20161218
1901,0,0,0,0,0,0,0,20160905,20161218
301,0,0,0,0,0,0,0,20160905,20161218
1501,0,0,0,0,0,0,0,20160905,20161218
139401,0,0,0,0,0,0,0,20160905,20161218
139301,0,0,0,0,0,0,0,20160905,20161218
225101,0,0,0,0,0,0,0,20160905,20161218
92601,0,0,0,0,0,0,0,20160905,20161218
155601,0,0,0,0,0,0,0,20160905,20161218
92501,0,0,0,0,0,0,0,20160905,20161218
117701,0,0,0,0,0,0,0,20160905,20161218
123201,0,0,0,0,0,0,0,20160905,20161218
162201,0,0,0,0,0,0,0,20160905,20161218
225102,0,0,0,0,0,0,0,20160905,20161218
92402,0,0,0,0,0,0,0,20160905,20161218
117702,0,0,0,0,0,0,0,20160905,20161218
123202,0,0,0,0,0,0,0,20160905,20161218
162202,0,0,0,0,0,0,0,20160905,20161218
49603,0,0,0,0,0,0,0,20160905,20161218
169803,0,0,0,0,0,0,0,20160905,20161218
225103,0,0,0,0,0,0,0,20160905,20161218
1803,0,0,0,0,0,0,0,20160905,20161218
32603,0,0,0,0,0,0,0,20160905,20161218
117703,0,0,0,0,0,0,0,20160905,20161218
123203,0,0,0,0,0,0,0,20160905,20161218
162203,0,0,0,0,0,0,0,20160905,20161218
